"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
24.0,24598.910578956125,35460.16389900672,163.83614702836178,86.23153018349832,11.21021080015473,2.097482638901512,405.05373816495876,32.64674991666941,1.0
24.0,26924.76172757659,3058.0580324090306,290.9808852062034,213.2111237877338,8.925937472040909,2.68332879122055,573.0430120327068,43.80653092323327,1.0
24.0,27621.66533379386,36173.92721141607,141.50663237218578,181.95288850899894,11.611594214893767,2.228122328234187,377.50657112547856,17.05450726259319,1.0
24.0,28533.488150456502,17296.78996034065,158.34335704821657,94.07520370664287,11.625853688027814,2.0492317205059143,371.68597010949316,29.129896770234993,1.0
24.0,32091.123934540337,8245.145026777629,142.47332150729025,76.93280241897914,10.056865269281456,2.098315126561817,488.3558793666645,29.26343930371528,1.0
24.0,7769.249507856866,2177.899612676668,149.68234922726492,137.70542186489686,9.744269059905832,3.7669743109003386,NaN,26.639676458181718,2.0
24.0,20998.793708059573,1242.5281840646599,141.17824503888755,408.653458774814,10.67373392060382,9.204368162067059,NaN,17.338463702398776,4.0
24.0,28543.631442018133,14018.98452502904,135.3164320222799,340.06951018172015,11.117762698651479,8.284178184455603,NaN,17.586605914550677,4.0
25.0,17486.797687155788,36711.33619163367,118.62740665169382,61.02033591156326,10.992519549342076,2.0786922664679315,436.6662372634978,26.8666362894954,1.0
25.0,27674.937278214085,36116.235071825766,158.07970046942012,203.72103178447162,10.643376982618712,1.8922936970633264,340.2245580918129,17.569683872472744,1.0
25.0,28441.76923282804,24977.74060198632,184.50392199612534,105.55071863036082,10.9984733260425,1.9584082927697606,376.2881469124432,32.50998370980922,1.0
25.0,28554.982743017026,17238.151007453074,149.4285712092246,126.40888203352301,11.410863951079286,2.2788139388595465,456.89394774252025,23.005003261284465,1.0
25.0,39439.72124292953,3951.4304165253025,123.3399377538411,65.66043193286458,9.934980791503543,2.330235813775724,576.1632547600367,27.96471626079051,1.0
25.0,5309.154660438344,36724.18044160706,130.69632021029207,324.68933752116607,9.062806003537876,7.6275228472315195,NaN,16.427743126523335,4.0
25.0,17001.918522515323,33919.13787736664,171.92088659077734,1373.0405673155249,10.837687348552457,20.651102012452434,NaN,15.44737123758555,9.0
26.0,17004.371666233514,33880.798723112144,179.14159542997936,155.27504109440952,10.943278172085268,2.007985404312407,368.77608190229904,24.416726677180602,1.0
26.0,17698.607135347673,36670.079702681694,125.91931758740256,62.3445928787248,10.295943513260049,1.8576919624297616,391.9118477504835,27.604410844979622,1.0
26.0,27614.217716577117,36116.66889019688,159.13555792391395,199.8378494648954,10.51495011424738,1.9078754240161124,357.47579997041197,17.93067315413217,1.0
