x [nm],y [nm],BG,I,Frame,Length,z [nm],Photons,Lateral Localization Accuracy [nm]
1672.2,14827.3,320.43454,44143.40625,9324,3,278.541,10100.4337,2.2417
2264.3,11657.1,656.9364,43346.80469,31,5,-185,9446.8835,3.11475
2265.5,11664.9,520.40063,17333.95508,202,2,-199.916,3681.38514,5.11366
2270.6,11656.5,595.09619,21812.26563,164,2,-255,4721.97336,5.00064
2276.6,11662.3,664.21631,9388.42969,62,1,-183,1892.66727,7.38621
2262.5,11676.1,648.9411,19208.12305,49,2,-211,3797.51887,5.50353
2266,11675.3,550.09924,16775.05469,184,2,-163,3450.29648,5.09942
2296.5,11669.7,557.95624,9626.53125,136,1,-267,2104.03504,7.83557
2268.7,11675.9,619.31024,10046.1416,177,1,-184,2093.21314,6.99199
2279.1,11680.6,510.99026,10373.34082,196,1,-230,2269.46152,6.29682
2281.9,11681.4,612.75574,114963.0781,144,10,-218,24302.34997,2.13714
2268.6,11685.4,621.03339,30366.49219,81,3,-233,6175.96447,4.5149
2276.7,11693,568.69379,11304.71875,134,1,-265,2510.16275,6.99749
2278.4,11695.4,642.66187,26620.68945,85,2,-314,5397.06541,5.44891
2282.3,11679,625.99835,11877.05762,101,1,-282,2398.0138,7.55835
2284.7,11684.2,647.00555,32981.42188,158,3,-215,7074.223,4.17816
2852.6,10691.6,448.95358,14404.08887,5358,1,-273.125,3152.27291,5.92963
2873.7,10648.8,463.10373,9494.37012,5355,1,-201.19,2322.07416,6.40312
2863,13220.2,340.2323,13089.54688,9446,1,597.154,2879.38802,5.89327
2496.4,16035.5,339.60547,8511.86328,4654,1,121.299,1901.4835,5.29571
2731.9,16485.8,343.89963,8319.5127,7408,1,355.106,1809.99414,6.68712
2883.6,14863,376.97104,12801.72461,6476,1,216.32,2907.75855,4.13911
2896.6,14867.8,459.63275,125600.6016,1708,10,244.727,27431.51638,1.62142
2897.6,14869.5,473.65396,39303.94922,1719,3,151.951,8917.11942,2.57939
2897.8,14861.6,421.30768,28009.46094,1723,2,196.033,6006.91229,3.2838
2918.3,10731.8,322.89401,61435.55078,6384,5,-75.6639,13374.42052,2.21814
2927.8,6415,318.41461,6215.63525,8390,1,193.074,1364.30228,6.59963
2954,10734.6,438.69962,153020.75,3468,16,-78.4436,34531.92271,1.26652
2954.2,10720.5,344.15488,137038.1719,8162,9,-152.075,30646.38853,1.68124
2952.7,10735.2,441.93283,65312.58594,3485,6,-99.916,14377.18277,2.0569
2920.1,10736.5,377.37125,142345.2031,6363,12,-47.345,31108.1855,1.41483
2949.7,10739.8,390.73395,313888.5938,4964,21,-103.601,68679.65488,0.97482
2949.7,10736,380.04965,496687.8125,5016,20,-139.482,110385.3191,0.73674
2920.7,10742,388.20496,67526.46875,6376,6,-48.9234,14398.73767,2.11681
2915.1,10768,377.74228,44298.97266,1864,3,-209.095,9270.18652,3.01173
2947.3,10843.6,349.78958,64242.18359,2697,6,-165.687,14260.16151,2.36417
2910.9,14867.8,321.22705,63549.29297,8593,4,210.777,14376.43636,1.8301
2949.8,10807.3,316.53232,68195.91406,6078,4,-196.528,15126.1892,2.28594
2956.5,10740.5,301.83517,61645.13672,8590,5,-94.3515,13657.90973,2.47162
2954.4,10800.9,327.88617,24574.96875,6075,2,-167.598,5500.34758,3.94218
2964.8,10746.6,317.12256,12894.71094,8596,1,-120.094,2945.2408,5.43399
2966.2,10742.2,463.54419,9310.39551,2334,1,-28.7275,2117.7063,5.12013
2966.7,8257.3,302.15768,41415.80859,9844,2,-152.536,9308.37643,3.21617
